name,description,location,latitude,longitude,city,country
Vintage Santorini Hotel,"Modern comfort just steps from the caldera cliffs, near the whitewashed alleys.","Santorini, Greece",36.3958,25.4467,Santorini,Greece
Old Town Berlin Boutique,"Quiet, well-located rooms minutes from the Brandenburg Gate and the Museum Island.","Berlin, Germany",52.5239,13.3919,Berlin,Germany
Central Seville Lodge,"Quiet, well-located rooms minutes from the flamenco quarter and the riverside gardens.","Seville, Spain",37.3791,-5.9846,Seville,Spain
Alpine Porto Hotel,Comfortable rooms with easy access to the Ribeira waterfront and the Dom Luís bridge.,"Porto, Portugal",41.1582,-8.6294,Porto,Portugal
Garden Naples Inn,"Modern comfort just steps from the bay, near Mount Vesuvius.","Naples, Italy",40.8425,14.2644,Naples,Italy
Central Budapest Plaza,Comfortable rooms with easy access to the thermal baths and the Danube promenade.,"Budapest, Hungary",47.5067,19.0252,Budapest,Hungary
Vintage Brussels Inn,"A welcoming stay near the Grand Place, a short walk from the EU quarter.","Brussels, Belgium",50.8452,4.3440,Brussels,Belgium
Alpine Madrid Hotel,Comfortable rooms with easy access to the Prado Museum and Retiro Park.,"Madrid, Spain",40.4170,-3.6905,Madrid,Spain
Palazzo Warsaw Manor,"Quiet, well-located rooms minutes from the reconstructed old town and Łazienki Park.","Warsaw, Poland",52.2257,21.0027,Warsaw,Poland
Riverside Lyon Plaza,"A welcoming stay near the Presqu'île, a short walk from the Fourvière basilica.","Lyon, France",45.7514,4.8286,Lyon,France
Central Cologne Retreat,"Quiet, well-located rooms minutes from the cathedral and the Rhine promenade.","Cologne, Germany",50.9369,6.9710,Cologne,Germany
Skyline Zurich Retreat,"Modern comfort just steps from Lake Zurich, near the old town.","Zurich, Switzerland",47.3627,8.5286,Zurich,Switzerland
Grand Amsterdam Retreat,"A welcoming stay near the canal ring, a short walk from the Rijksmuseum.","Amsterdam, Netherlands",52.3612,4.9053,Amsterdam,Netherlands
Villa Dublin Lodge,"Modern comfort just steps from Temple Bar, near the River Liffey.","Dublin, Ireland",53.3466,-6.2553,Dublin,Ireland
Boutique Zurich Residence,Comfortable rooms with easy access to Lake Zurich and the old town.,"Zurich, Switzerland",47.3737,8.5436,Zurich,Switzerland
Villa Porto Boutique,"Quiet, well-located rooms minutes from the Ribeira waterfront and the Dom Luís bridge.","Porto, Portugal",41.1442,-8.6195,Porto,Portugal
Central Barcelona Inn,"Modern comfort just steps from Las Ramblas, near the Gothic Quarter.","Barcelona, Spain",41.3868,2.1656,Barcelona,Spain
Old Town Paris Inn,"A welcoming stay near the Eiffel Tower, a short walk from the Louvre.","Paris, France",48.8564,2.3468,Paris,France
Royal Geneva Boutique,"Modern comfort just steps from the Jet d’Eau fountain, near the lakeside promenade.","Geneva, Switzerland",46.2052,6.1411,Geneva,Switzerland
Skyline Bath Hotel,"A welcoming stay near the Roman Baths, a short walk from the Georgian crescents.","Bath, United Kingdom",51.3783,-2.3735,Bath,United Kingdom
Coastal Salzburg Residence,"A welcoming stay near the Salzach river, a short walk from Hohensalzburg Fortress.","Salzburg, Austria",47.7963,13.0562,Salzburg,Austria
Villa Rome Suites,"A welcoming stay near the Trevi Fountain, a short walk from the Pantheon.","Rome, Italy",41.9035,12.4987,Rome,Italy
